repeat,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,aligned_error_rmse_lsb,saturation_fraction
19,SELF_CAL_NO_SRM_NOISY,89.57884633979306,90.43212858523098,105.82965930800191,-105.65901781878338,14.587848229201505,0.6828386078991731,0.0
19,SELF_CAL_SRM_22_NOISY,93.91417341260623,95.0824044310076,106.28894285425983,-106.19192372798568,15.30800222800768,0.4145375072939417,0.0
20,ORACLE_NO_SRM_NOISY,90.57333727892158,91.06970850767618,114.84027689824701,-116.95297571513035,14.753046059621527,0.617301961965737,0.0
20,ORACLE_SRM_22_NOISY,95.8965120552761,96.16496391153,121.53223412266743,-122.56377441807571,15.637294361341546,0.3344658160551794,0.0
20,ORACLE_SRM_EXPECTED_NOISY,96.78711698067809,97.77705066219163,121.8961508028587,-125.57365169971851,15.785235378850182,0.3018919167119217,0.0
20,SELF_CAL_NO_SRM_NOISY,89.7367512883339,90.58468411864862,105.42286058690159,-105.2576688516221,14.614078287098655,0.67053715735075,0.0
20,SELF_CAL_SRM_22_NOISY,93.82470205707882,94.94255202540607,106.24694672483668,-106.16572327794513,15.293139876591168,0.41883134493799506,0.0
21,ORACLE_NO_SRM_NOISY,90.46450491206292,90.84169503414843,116.9647820809046,-117.97166948802749,14.734967593365933,0.6250958808345304,0.0
21,ORACLE_SRM_22_NOISY,95.88508267389798,96.10782844406954,122.76094491431131,-123.78265076689456,15.63539579300631,0.33491850619627717,0.0
21,ORACLE_SRM_EXPECTED_NOISY,96.73335940625088,97.72749438926715,122.20154611728881,-122.77754080218465,15.776305549211111,0.3037858666931132,0.0
21,SELF_CAL_NO_SRM_NOISY,89.70566813240899,90.46683583345072,105.77420950143987,-105.65130884110629,14.608914972160962,0.6729670921800038,0.0
21,SELF_CAL_SRM_22_NOISY,93.93032670348634,94.93802023052451,107.1339365604981,-107.0666206210373,15.310685498917998,0.4137691074957845,0.0
22,ORACLE_NO_SRM_NOISY,90.53122778094709,90.90050375298375,115.70287877979322,-114.9466301405784,14.746051126403172,0.6203497185109993,0.0
22,ORACLE_SRM_22_NOISY,95.83567971965871,96.08696521813127,121.53578968505327,-124.35906945636675,15.627189322202444,0.3368065793729068,0.0
22,ORACLE_SRM_EXPECTED_NOISY,96.75433963716527,97.70978595379438,120.93232218938054,-127.3874218076474,15.77979063740287,0.30308888388657645,0.0
22,SELF_CAL_NO_SRM_NOISY,89.69142291663736,90.50004308394833,104.51260777471637,-104.41819815675792,14.606548657248732,0.6741026049964304,0.0
